,index,Template,Scores
0,17,[og]-[ns]-[type-iii]-[ans-i],0.00028884410858154297
1,35,[og]-[ns]-[type-ii]-[ans-i],0.0002416372299194336
2,16,[lc]-[ns]-[type-iii]-[ans-i],0.0002384185791015625
3,10,[lc]-[s]-[type-ii]-[ans-i],0.00023233890533447266
4,11,[og]-[s]-[type-ii]-[ans-i],0.00022995471954345703
5,34,[lc]-[ns]-[type-ii]-[ans-i],0.00022017955780029297
6,3,[og]-[s]-[type-i]-[ans-i],0.00021088123321533203
7,27,[og]-[ns]-[type-i]-[ans-i],0.00020587444305419922
8,26,[lc]-[ns]-[type-i]-[ans-i],0.0002053976058959961
9,19,[og]-[s]-[type-iii]-[ans-i],0.00019299983978271484
10,2,[lc]-[s]-[type-i]-[ans-i],0.0001761913299560547
11,18,[lc]-[s]-[type-iii]-[ans-i],0.00017273426055908203
12,24,[lc]-[s]-[type-i]-[ans-ii],0.00016295909881591797
13,30,[lc]-[s]-[type-ii]-[ans-ii],0.00016295909881591797
14,25,[og]-[s]-[type-i]-[ans-ii],0.0001538991928100586
15,31,[og]-[s]-[type-ii]-[ans-ii],0.0001538991928100586
16,12,[lc]-[ns]-[type-ii]-[ans-ii],0.00015163421630859375
17,22,[lc]-[ns]-[type-iii]-[ans-ii],0.0001443624496459961
18,13,[og]-[ns]-[type-ii]-[ans-ii],0.00014138221740722656
19,0,[lc]-[ns]-[type-i]-[ans-iii],0.0001308917999267578
20,28,[lc]-[ns]-[type-i]-[ans-ii],0.00013065338134765625
21,29,[og]-[ns]-[type-i]-[ans-ii],0.00012958049774169922
22,32,[lc]-[ns]-[type-ii]-[ans-iii],0.0001271963119506836
23,15,[og]-[s]-[type-ii]-[ans-iii],0.00012242794036865234
24,23,[og]-[ns]-[type-iii]-[ans-ii],0.00012230873107910156
25,6,[lc]-[s]-[type-i]-[ans-iii],0.00012218952178955078
26,14,[lc]-[s]-[type-ii]-[ans-iii],0.00012040138244628906
27,33,[og]-[ns]-[type-ii]-[ans-iii],0.00012004375457763672
28,1,[og]-[ns]-[type-i]-[ans-iii],0.0001093149185180664
29,7,[og]-[s]-[type-i]-[ans-iii],0.00010824203491210938
30,4,[lc]-[s]-[type-iii]-[ans-ii],9.930133819580078e-05
31,20,[lc]-[ns]-[type-iii]-[ans-iii],9.918212890625e-05
32,5,[og]-[s]-[type-iii]-[ans-ii],9.28640365600586e-05
33,21,[og]-[ns]-[type-iii]-[ans-iii],8.535385131835938e-05
34,8,[lc]-[s]-[type-iii]-[ans-iii],6.794929504394531e-05
35,9,[og]-[s]-[type-iii]-[ans-iii],6.413459777832031e-05
