,index,Template,Scores
0,10,[lc]-[s]-[type-ii]-[ans-i],0.0023158788681030273
1,18,[lc]-[s]-[type-iii]-[ans-i],0.0016472339630126953
2,2,[lc]-[s]-[type-i]-[ans-i],0.0015011429786682129
3,16,[lc]-[ns]-[type-iii]-[ans-i],0.0014557242393493652
4,13,[og]-[ns]-[type-ii]-[ans-ii],0.0014510750770568848
5,34,[lc]-[ns]-[type-ii]-[ans-i],0.0014296770095825195
6,35,[og]-[ns]-[type-ii]-[ans-i],0.0014274120330810547
7,25,[og]-[s]-[type-i]-[ans-ii],0.0011467933654785156
8,31,[og]-[s]-[type-ii]-[ans-ii],0.0011467933654785156
9,14,[lc]-[s]-[type-ii]-[ans-iii],0.0010963678359985352
10,11,[og]-[s]-[type-ii]-[ans-i],0.0010467171669006348
11,23,[og]-[ns]-[type-iii]-[ans-ii],0.0010190606117248535
12,27,[og]-[ns]-[type-i]-[ans-i],0.0010033249855041504
13,32,[lc]-[ns]-[type-ii]-[ans-iii],0.0009680986404418945
14,12,[lc]-[ns]-[type-ii]-[ans-ii],0.0009666681289672852
15,33,[og]-[ns]-[type-ii]-[ans-iii],0.0009649991989135742
16,26,[lc]-[ns]-[type-i]-[ans-i],0.000952303409576416
17,15,[og]-[s]-[type-ii]-[ans-iii],0.0009492039680480957
18,17,[og]-[ns]-[type-iii]-[ans-i],0.0009292364120483398
19,30,[lc]-[s]-[type-ii]-[ans-ii],0.0009097456932067871
20,24,[lc]-[s]-[type-i]-[ans-ii],0.0009097456932067871
21,29,[og]-[ns]-[type-i]-[ans-ii],0.0008985400199890137
22,7,[og]-[s]-[type-i]-[ans-iii],0.0008851289749145508
23,3,[og]-[s]-[type-i]-[ans-i],0.0008630752563476562
24,9,[og]-[s]-[type-iii]-[ans-iii],0.0008584856986999512
25,6,[lc]-[s]-[type-i]-[ans-iii],0.0008404850959777832
26,0,[lc]-[ns]-[type-i]-[ans-iii],0.0008337497711181641
27,22,[lc]-[ns]-[type-iii]-[ans-ii],0.000794529914855957
28,1,[og]-[ns]-[type-i]-[ans-iii],0.0007811188697814941
29,21,[og]-[ns]-[type-iii]-[ans-iii],0.0007748007774353027
30,8,[lc]-[s]-[type-iii]-[ans-iii],0.0007555484771728516
31,28,[lc]-[ns]-[type-i]-[ans-ii],0.0007171034812927246
32,5,[og]-[s]-[type-iii]-[ans-ii],0.0006889700889587402
33,4,[lc]-[s]-[type-iii]-[ans-ii],0.0006235241889953613
34,20,[lc]-[ns]-[type-iii]-[ans-iii],0.0006014704704284668
35,19,[og]-[s]-[type-iii]-[ans-i],0.0005612373352050781
