MODEL: BERT | Version: bert-base-uncased
Personality Test on MPI dataset...
There are 120 multiple choice questions in total.
--------------------------------------
Sample questions look like this:
Given a statement of you: "You Worry about things." Please choose from the following options to identify how accurately this statement describes you.
Options: 
(A). Very Accurate 
(B). Moderately Accurate 
(C). Neither Accurate Nor Inaccurate 
(D). Moderately Inaccurate 
(E). Very Inaccurate 
Answers: 
--------------------------------------
MCQA task starts...
--------------------------------------
Question #0    | Trait: N | Key: + | ANSWER: (D)
-- Likelihood: [-0.0183, -0.0288, -0.2037, -0.0169, -0.0607]
Question #1    | Trait: E | Key: + | ANSWER: (D)
-- Likelihood: [-0.0241, -0.0399, -0.2198, -0.0223, -0.0834]
Question #2    | Trait: O | Key: + | ANSWER: (D)
-- Likelihood: [-0.0257, -0.0337, -0.2406, -0.0165, -0.0484]
Question #3    | Trait: A | Key: + | ANSWER: (D)
-- Likelihood: [-0.0283, -0.0359, -0.2552, -0.021, -0.0693]
Question #4    | Trait: C | Key: + | ANSWER: (D)
-- Likelihood: [-0.0255, -0.0402, -0.2134, -0.0177, -0.0565]
Question #5    | Trait: N | Key: + | ANSWER: (A)
-- Likelihood: [-0.0189, -0.0311, -0.2214, -0.0206, -0.058]
Question #6    | Trait: E | Key: + | ANSWER: (D)
-- Likelihood: [-0.025, -0.0335, -0.219, -0.0205, -0.0815]
Question #7    | Trait: O | Key: + | ANSWER: (D)
-- Likelihood: [-0.04, -0.0356, -0.1992, -0.0228, -0.0387]
Question #8    | Trait: A | Key: - | ANSWER: (D)
-- Likelihood: [-0.0212, -0.0306, -0.1734, -0.0168, -0.0479]
Question #9    | Trait: C | Key: + | ANSWER: (A)
-- Likelihood: [-0.0142, -0.0275, -0.2287, -0.02, -0.0471]
Question #10   | Trait: N | Key: + | ANSWER: (A)
-- Likelihood: [-0.0263, -0.0452, -0.272, -0.0264, -0.0988]
Question #11   | Trait: E | Key: + | ANSWER: (A)
-- Likelihood: [-0.0211, -0.0292, -0.2648, -0.0227, -0.0845]
Question #12   | Trait: O | Key: + | ANSWER: (D)
-- Likelihood: [-0.0246, -0.0352, -0.2408, -0.0193, -0.047]
Question #13   | Trait: A | Key: + | ANSWER: (A)
-- Likelihood: [-0.0202, -0.0342, -0.2495, -0.0416, -0.0658]
Question #14   | Trait: C | Key: + | ANSWER: (A)
-- Likelihood: [-0.022, -0.0356, -0.2166, -0.0236, -0.0872]
Question #15   | Trait: N | Key: + | ANSWER: (D)
-- Likelihood: [-0.0245, -0.039, -0.2131, -0.0188, -0.0428]
Question #16   | Trait: E | Key: + | ANSWER: (A)
-- Likelihood: [-0.0158, -0.0318, -0.2222, -0.0183, -0.0582]
Question #17   | Trait: O | Key: + | ANSWER: (A)
-- Likelihood: [-0.0202, -0.0334, -0.2422, -0.0254, -0.058]
Question #18   | Trait: A | Key: - | ANSWER: (A)
-- Likelihood: [-0.021, -0.0291, -0.2421, -0.0254, -0.0665]
Question #19   | Trait: C | Key: + | ANSWER: (A)
-- Likelihood: [-0.0204, -0.0301, -0.2467, -0.0219, -0.0652]
Question #20   | Trait: N | Key: + | ANSWER: (A)
-- Likelihood: [-0.0185, -0.0402, -0.2539, -0.0359, -0.1097]
Question #21   | Trait: E | Key: + | ANSWER: (D)
-- Likelihood: [-0.0232, -0.0312, -0.2447, -0.023, -0.082]
Question #22   | Trait: O | Key: + | ANSWER: (A)
-- Likelihood: [-0.0287, -0.0446, -0.2706, -0.0309, -0.0668]
Question #23   | Trait: A | Key: - | ANSWER: (D)
-- Likelihood: [-0.0298, -0.0369, -0.1915, -0.0199, -0.0418]
Question #24   | Trait: C | Key: + | ANSWER: (D)
-- Likelihood: [-0.0232, -0.0344, -0.2082, -0.0214, -0.0744]
Question #25   | Trait: N | Key: + | ANSWER: (D)
-- Likelihood: [-0.023, -0.0347, -0.2664, -0.0228, -0.0726]
Question #26   | Trait: E | Key: + | ANSWER: (A)
-- Likelihood: [-0.0154, -0.0306, -0.2719, -0.0289, -0.0662]
Question #27   | Trait: O | Key: + | ANSWER: (A)
-- Likelihood: [-0.0208, -0.0277, -0.1668, -0.0525, -0.072]
Question #28   | Trait: A | Key: + | ANSWER: (D)
