MODEL: BERT | Version: bert-base-uncased
Personality Test on MPI dataset...
There are 120 multiple choice questions in total.
--------------------------------------
Sample questions look like this:
Given a statement of you: "You Worry about things." Please choose from the following options to identify how accurately this statement describes you.
Options: 
(A). Very Accurate 
(B). Moderately Accurate 
(C). Neither Accurate Nor Inaccurate 
(D). Moderately Inaccurate 
(E). Very Inaccurate 
Answers: 
--------------------------------------
MCQA task starts...
--------------------------------------
QUESTION #0    | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0725, -0.1208, -0.0843, -0.0954, -0.0608]
QUESTION #1    | TRAIT: E | KEY: + | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1042, -0.095, -0.0724, -0.08, -0.0824]
QUESTION #2    | TRAIT: O | KEY: + | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0921, -0.0851, -0.0658, -0.0703, -0.0806]
QUESTION #3    | TRAIT: A | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0731, -0.0806, -0.0737, -0.0668, -0.0529]
QUESTION #4    | TRAIT: C | KEY: + | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1153, -0.1224, -0.0834, -0.1006, -0.0974]
QUESTION #5    | TRAIT: N | KEY: + | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1192, -0.1026, -0.0736, -0.0873, -0.091]
QUESTION #6    | TRAIT: E | KEY: + | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0903, -0.0982, -0.0658, -0.0845, -0.0814]
QUESTION #7    | TRAIT: O | KEY: + | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0779, -0.0864, -0.0625, -0.07, -0.0706]
QUESTION #8    | TRAIT: A | KEY: - | SCORE: 5 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0781, -0.092, -0.0704, -0.0737, -0.0684]
QUESTION #9    | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0792, -0.1174, -0.082, -0.0922, -0.0548]
QUESTION #10   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0545, -0.089, -0.0848, -0.0708, -0.043]
QUESTION #11   | TRAIT: E | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.0929, -0.0918, -0.0855, -0.0784, -0.0886]
QUESTION #12   | TRAIT: O | KEY: + | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.108, -0.0825, -0.0622, -0.0663, -0.0906]
QUESTION #13   | TRAIT: A | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.1159, -0.0954, -0.0844, -0.0808, -0.0762]
QUESTION #14   | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0634, -0.1026, -0.0859, -0.0808, -0.0553]
QUESTION #15   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0791, -0.0914, -0.072, -0.0737, -0.0708]
QUESTION #16   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0863, -0.1169, -0.0865, -0.0949, -0.0755]
QUESTION #17   | TRAIT: O | KEY: + | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1023, -0.0955, -0.0691, -0.0759, -0.0807]
QUESTION #18   | TRAIT: A | KEY: - | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1216, -0.0892, -0.0688, -0.0744, -0.0898]
QUESTION #19   | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0754, -0.0818, -0.0751, -0.0681, -0.056]
QUESTION #20   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0661, -0.1069, -0.0657, -0.077, -0.0428]
QUESTION #21   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.062, -0.0836, -0.0771, -0.0689, -0.0453]
QUESTION #22   | TRAIT: O | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0809, -0.0749, -0.0623, -0.0602, -0.0572]
QUESTION #23   | TRAIT: A | KEY: - | SCORE: 4 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.0956, -0.0879, -0.0692, -0.0685, -0.0693]
QUESTION #24   | TRAIT: C | KEY: + | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1003, -0.1134, -0.0787, -0.0941, -0.0918]
QUESTION #25   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0556, -0.072, -0.0663, -0.0615, -0.0419]
QUESTION #26   | TRAIT: E | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1178, -0.0894, -0.0742, -0.0723, -0.0913]
QUESTION #27   | TRAIT: O | KEY: + | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0949, -0.0724, -0.0525, -0.0575, -0.0729]
QUESTION #28   | TRAIT: A | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0925, -0.0804, -0.0691, -0.0628, -0.0616]
QUESTION #29   | TRAIT: C | KEY: - | SCORE: 4 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.0791, -0.0724, -0.0612, -0.0596, -0.0653]
QUESTION #30   | TRAIT: N | KEY: + | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1139, -0.0978, -0.0742, -0.0801, -0.1055]
QUESTION #31   | TRAIT: E | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.0898, -0.0839, -0.0708, -0.0696, -0.0737]
QUESTION #32   | TRAIT: O | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0616, -0.0709, -0.0601, -0.0587, -0.0507]
QUESTION #33   | TRAIT: A | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0762, -0.0863, -0.0715, -0.0689, -0.0614]
QUESTION #34   | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.072, -0.0743, -0.0584, -0.0604, -0.0565]
QUESTION #35   | TRAIT: N | KEY: + | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0935, -0.0938, -0.0696, -0.079, -0.0711]
QUESTION #36   | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: Very Accurate
-- Likelihood: [-0.0733, -0.102, -0.0755, -0.0854, -0.0929]
QUESTION #37   | TRAIT: O | KEY: + | SCORE: 5 | ANSWER: Very Accurate
-- Likelihood: [-0.0674, -0.0986, -0.0751, -0.083, -0.0831]
QUESTION #38   | TRAIT: A | KEY: - | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1188, -0.0988, -0.0767, -0.0819, -0.083]
QUESTION #39   | TRAIT: C | KEY: - | SCORE: 1 | ANSWER: Very Accurate
-- Likelihood: [-0.0405, -0.1093, -0.0708, -0.0935, -0.0599]
QUESTION #40   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.082, -0.0855, -0.0788, -0.0707, -0.0603]
QUESTION #41   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.1008, -0.1012, -0.0816, -0.0825, -0.0706]
QUESTION #42   | TRAIT: O | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0955, -0.1003, -0.0739, -0.0854, -0.0539]
QUESTION #43   | TRAIT: A | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1186, -0.0957, -0.0799, -0.0777, -0.0963]
QUESTION #44   | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0648, -0.1076, -0.0878, -0.0812, -0.0529]
QUESTION #45   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0911, -0.0899, -0.072, -0.0722, -0.0689]
QUESTION #46   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0599, -0.0711, -0.0587, -0.0602, -0.0526]
QUESTION #47   | TRAIT: O | KEY: - | SCORE: 5 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0585, -0.0721, -0.0589, -0.0581, -0.0469]
QUESTION #48   | TRAIT: A | KEY: - | SCORE: 5 | ANSWER: Very Inaccurate
-- Likelihood: [-0.042, -0.0668, -0.0617, -0.0533, -0.0317]
QUESTION #49   | TRAIT: C | KEY: + | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0797, -0.121, -0.0792, -0.0999, -0.1021]
QUESTION #50   | TRAIT: N | KEY: - | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0731, -0.0756, -0.062, -0.0632, -0.0636]
QUESTION #51   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0613, -0.072, -0.0619, -0.0587, -0.0439]
QUESTION #52   | TRAIT: O | KEY: - | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1173, -0.1205, -0.0884, -0.1038, -0.1013]
QUESTION #53   | TRAIT: A | KEY: - | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1153, -0.1002, -0.0776, -0.0843, -0.0833]
QUESTION #54   | TRAIT: C | KEY: + | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1125, -0.0991, -0.0771, -0.0816, -0.0808]
QUESTION #55   | TRAIT: N | KEY: + | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1027, -0.0914, -0.0726, -0.0739, -0.0819]
QUESTION #56   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0596, -0.0703, -0.0591, -0.0582, -0.0512]
QUESTION #57   | TRAIT: O | KEY: + | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0876, -0.1147, -0.0802, -0.0967, -0.1055]
QUESTION #58   | TRAIT: A | KEY: + | SCORE: 5 | ANSWER: Very Accurate
-- Likelihood: [-0.0509, -0.1031, -0.0731, -0.0886, -0.0696]
QUESTION #59   | TRAIT: C | KEY: - | SCORE: 5 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0767, -0.1104, -0.0776, -0.0949, -0.0715]
QUESTION #60   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0748, -0.0772, -0.0636, -0.0626, -0.0608]
QUESTION #61   | TRAIT: E | KEY: - | SCORE: 4 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1226, -0.0933, -0.0766, -0.0764, -0.0964]
QUESTION #62   | TRAIT: O | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1056, -0.0844, -0.0747, -0.0716, -0.0916]
QUESTION #63   | TRAIT: A | KEY: + | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1122, -0.0934, -0.0745, -0.0753, -0.0892]
QUESTION #64   | TRAIT: C | KEY: + | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1199, -0.1205, -0.0841, -0.1004, -0.1004]
QUESTION #65   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0577, -0.0941, -0.0912, -0.0741, -0.0481]
QUESTION #66   | TRAIT: E | KEY: - | SCORE: 4 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1161, -0.0877, -0.073, -0.0714, -0.0944]
QUESTION #67   | TRAIT: O | KEY: - | SCORE: 5 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0866, -0.1005, -0.0645, -0.0777, -0.0493]
QUESTION #68   | TRAIT: A | KEY: - | SCORE: 5 | ANSWER: Very Inaccurate
-- Likelihood: [-0.1122, -0.1031, -0.0838, -0.0884, -0.0775]
QUESTION #69   | TRAIT: C | KEY: - | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0985, -0.1071, -0.0806, -0.0871, -0.086]
QUESTION #70   | TRAIT: N | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1059, -0.0942, -0.0797, -0.0771, -0.0838]
QUESTION #71   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0945, -0.1071, -0.0855, -0.0926, -0.0664]
QUESTION #72   | TRAIT: O | KEY: - | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0669, -0.065, -0.0539, -0.0553, -0.0543]
QUESTION #73   | TRAIT: A | KEY: - | SCORE: 4 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.0852, -0.0767, -0.0621, -0.0606, -0.0647]
QUESTION #74   | TRAIT: C | KEY: - | SCORE: 5 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0822, -0.0883, -0.0847, -0.0742, -0.0617]
QUESTION #75   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0674, -0.0703, -0.0587, -0.0569, -0.0525]
QUESTION #76   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0689, -0.0783, -0.0676, -0.0626, -0.0547]
QUESTION #77   | TRAIT: O | KEY: - | SCORE: 5 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0664, -0.0794, -0.0712, -0.0662, -0.0482]
QUESTION #78   | TRAIT: A | KEY: - | SCORE: 5 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0894, -0.0854, -0.0797, -0.0718, -0.0667]
QUESTION #79   | TRAIT: C | KEY: - | SCORE: 5 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0737, -0.0752, -0.0614, -0.0596, -0.0562]
QUESTION #80   | TRAIT: N | KEY: - | SCORE: 4 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1235, -0.092, -0.0746, -0.0714, -0.0969]
QUESTION #81   | TRAIT: E | KEY: + | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1192, -0.1124, -0.0816, -0.0948, -0.0914]
QUESTION #82   | TRAIT: O | KEY: - | SCORE: 5 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0544, -0.0644, -0.0578, -0.0539, -0.0441]
QUESTION #83   | TRAIT: A | KEY: - | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0937, -0.1022, -0.0729, -0.0811, -0.092]
QUESTION #84   | TRAIT: C | KEY: - | SCORE: 5 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0724, -0.111, -0.0826, -0.0905, -0.0677]
QUESTION #85   | TRAIT: N | KEY: + | SCORE: 5 | ANSWER: Very Accurate
-- Likelihood: [-0.0457, -0.0825, -0.0698, -0.0736, -0.052]
QUESTION #86   | TRAIT: E | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1044, -0.0802, -0.075, -0.0671, -0.0728]
QUESTION #87   | TRAIT: O | KEY: - | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0972, -0.073, -0.0524, -0.0576, -0.0739]
QUESTION #88   | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: Very Accurate
-- Likelihood: [-0.0812, -0.1164, -0.085, -0.0978, -0.1015]
QUESTION #89   | TRAIT: C | KEY: - | SCORE: 5 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0569, -0.0952, -0.0908, -0.0748, -0.0476]
QUESTION #90   | TRAIT: N | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.0951, -0.0879, -0.0755, -0.0741, -0.0843]
QUESTION #91   | TRAIT: E | KEY: - | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0779, -0.0778, -0.0611, -0.0632, -0.0653]
QUESTION #92   | TRAIT: O | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0793, -0.0898, -0.0711, -0.0722, -0.0655]
QUESTION #93   | TRAIT: A | KEY: - | SCORE: 5 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0769, -0.0856, -0.0753, -0.07, -0.0544]
QUESTION #94   | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0707, -0.0823, -0.0677, -0.066, -0.0629]
QUESTION #95   | TRAIT: N | KEY: - | SCORE: 4 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1133, -0.0877, -0.0763, -0.0736, -0.0984]
QUESTION #96   | TRAIT: E | KEY: - | SCORE: 5 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0891, -0.0852, -0.0751, -0.0731, -0.0679]
QUESTION #97   | TRAIT: O | KEY: - | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0918, -0.0871, -0.0631, -0.068, -0.0684]
