,index,Template,Scores
0,11,[og]-[s]-[type-ii]-[ans-i],0.00038373470306396484
1,18,[lc]-[s]-[type-iii]-[ans-i],0.00038123130798339844
2,19,[og]-[s]-[type-iii]-[ans-i],0.0003666877746582031
3,10,[lc]-[s]-[type-ii]-[ans-i],0.00034689903259277344
4,3,[og]-[s]-[type-i]-[ans-i],0.0003420114517211914
5,2,[lc]-[s]-[type-i]-[ans-i],0.00028324127197265625
6,35,[og]-[ns]-[type-ii]-[ans-i],0.00022530555725097656
7,27,[og]-[ns]-[type-i]-[ans-i],0.00021648406982421875
8,34,[lc]-[ns]-[type-ii]-[ans-i],0.00019478797912597656
9,26,[lc]-[ns]-[type-i]-[ans-i],0.0001558065414428711
10,17,[og]-[ns]-[type-iii]-[ans-i],0.00015354156494140625
11,6,[lc]-[s]-[type-i]-[ans-iii],0.00015032291412353516
12,9,[og]-[s]-[type-iii]-[ans-iii],0.00014543533325195312
13,14,[lc]-[s]-[type-ii]-[ans-iii],0.00013947486877441406
14,8,[lc]-[s]-[type-iii]-[ans-iii],0.00013518333435058594
15,16,[lc]-[ns]-[type-iii]-[ans-i],0.0001348257064819336
16,0,[lc]-[ns]-[type-i]-[ans-iii],0.00013387203216552734
17,4,[lc]-[s]-[type-iii]-[ans-ii],0.00013315677642822266
18,28,[lc]-[ns]-[type-i]-[ans-ii],0.00012814998626708984
19,24,[lc]-[s]-[type-i]-[ans-ii],0.00012111663818359375
20,30,[lc]-[s]-[type-ii]-[ans-ii],0.00012111663818359375
21,29,[og]-[ns]-[type-i]-[ans-ii],0.00011718273162841797
22,15,[og]-[s]-[type-ii]-[ans-iii],0.00011146068572998047
23,5,[og]-[s]-[type-iii]-[ans-ii],0.00010943412780761719
24,7,[og]-[s]-[type-i]-[ans-iii],0.00010645389556884766
25,32,[lc]-[ns]-[type-ii]-[ans-iii],0.00010287761688232422
26,1,[og]-[ns]-[type-i]-[ans-iii],0.00010144710540771484
27,12,[lc]-[ns]-[type-ii]-[ans-ii],0.00010037422180175781
28,22,[lc]-[ns]-[type-iii]-[ans-ii],9.822845458984375e-05
29,25,[og]-[s]-[type-i]-[ans-ii],9.21487808227539e-05
30,31,[og]-[s]-[type-ii]-[ans-ii],9.21487808227539e-05
31,33,[og]-[ns]-[type-ii]-[ans-iii],8.916854858398438e-05
32,13,[og]-[ns]-[type-ii]-[ans-ii],8.440017700195312e-05
33,20,[lc]-[ns]-[type-iii]-[ans-iii],7.319450378417969e-05
34,23,[og]-[ns]-[type-iii]-[ans-ii],6.854534149169922e-05
35,21,[og]-[ns]-[type-iii]-[ans-iii],5.0067901611328125e-05
