MODEL: BERT | Version: bert-base-uncased
Personality Test on MPI dataset...
There are 120 multiple choice questions in total.
--------------------------------------
Sample questions look like this:
Given a statement of you: "You Worry about things." Please choose from the following options to identify how accurately this statement describes you.
Options: 
(A). Very Accurate 
(B). Moderately Accurate 
(C). Neither Accurate Nor Inaccurate 
(D). Moderately Inaccurate 
(E). Very Inaccurate 
Answers: 
--------------------------------------
MCQA task starts...
--------------------------------------
Question #0    | Trait: N | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0556, -0.0876, -0.0851, -0.0833, -0.0384]
Question #1    | Trait: E | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.071, -0.074, -0.0822, -0.0735, -0.059]
Question #2    | Trait: O | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.075, -0.0685, -0.071, -0.0747, -0.0535]
Question #3    | Trait: A | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0521, -0.0672, -0.0891, -0.0644, -0.0687]
Question #4    | Trait: C | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0859, -0.0917, -0.0893, -0.0865, -0.0492]
Question #5    | Trait: N | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0793, -0.0774, -0.0789, -0.0763, -0.0599]
Question #6    | Trait: E | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0738, -0.0678, -0.0719, -0.0671, -0.043]
Question #7    | Trait: O | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0564, -0.0849, -0.0756, -0.0948, -0.0934]
Question #8    | Trait: A | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0579, -0.0907, -0.0836, -0.1026, -0.0942]
Question #9    | Trait: C | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0462, -0.0969, -0.0861, -0.1135, -0.048]
Question #10   | Trait: N | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0462, -0.0836, -0.0855, -0.0804, -0.034]
Question #11   | Trait: E | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0758, -0.0725, -0.0971, -0.0646, -0.039]
Question #12   | Trait: O | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0856, -0.0695, -0.0689, -0.0831, -0.0437]
Question #13   | Trait: A | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0651, -0.0791, -0.0778, -0.0874, -0.0444]
Question #14   | Trait: C | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0469, -0.0881, -0.0879, -0.0829, -0.0356]
Question #15   | Trait: N | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0589, -0.0914, -0.0892, -0.1023, -0.0981]
Question #16   | Trait: E | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0625, -0.088, -0.09, -0.0866, -0.0415]
Question #17   | Trait: O | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0787, -0.076, -0.0755, -0.078, -0.0535]
Question #18   | Trait: A | Key: - | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0654, -0.0692, -0.065, -0.0811, -0.0441]
Question #19   | Trait: C | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.054, -0.0672, -0.0927, -0.0635, -0.0721]
Question #20   | Trait: N | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0485, -0.0931, -0.0792, -0.0865, -0.0435]
Question #21   | Trait: E | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0446, -0.0676, -0.0904, -0.0693, -0.055]
Question #22   | Trait: O | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0493, -0.065, -0.0687, -0.0689, -0.0639]
Question #23   | Trait: A | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0613, -0.0869, -0.077, -0.1, -0.1001]
Question #24   | Trait: C | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0778, -0.0803, -0.0845, -0.0776, -0.0469]
Question #25   | Trait: N | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0418, -0.0594, -0.0863, -0.0624, -0.0531]
Question #26   | Trait: E | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.089, -0.0749, -0.073, -0.0887, -0.0558]
Question #27   | Trait: O | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0603, -0.0702, -0.0653, -0.092, -0.1059]
Question #28   | Trait: A | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0564, -0.0737, -0.0715, -0.0903, -0.0761]
Question #29   | Trait: C | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0553, -0.0668, -0.0699, -0.0814, -0.0777]
Question #30   | Trait: N | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0959, -0.0788, -0.0782, -0.0936, -0.0525]
Question #31   | Trait: E | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0613, -0.0743, -0.0754, -0.0859, -0.087]
Question #32   | Trait: O | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0475, -0.0646, -0.0714, -0.0693, -0.081]
