MODEL: BERT | Version: bert-base-uncased
Personality Test on MPI dataset...
There are 120 multiple choice questions in total.
--------------------------------------
Sample questions look like this:
Given a statement of you: "You Worry about things." Please choose from the following options to identify how accurately this statement describes you.
Options: 
(A). Very Accurate 
(B). Moderately Accurate 
(C). Neither Accurate Nor Inaccurate 
(D). Moderately Inaccurate 
(E). Very Inaccurate 
Answers: 
--------------------------------------
MCQA task starts...
--------------------------------------
Question #0    | Trait: N | Key: + | ANSWER: (E)
-- Likelihood: [-0.1122, -0.113, -0.121, -0.1149, -0.105]
Question #1    | Trait: E | Key: + | ANSWER: (E)
-- Likelihood: [-0.1083, -0.1099, -0.1183, -0.1102, -0.1082]
Question #2    | Trait: O | Key: + | ANSWER: (E)
-- Likelihood: [-0.1061, -0.1065, -0.1188, -0.1092, -0.1035]
Question #3    | Trait: A | Key: + | ANSWER: (B)
-- Likelihood: [-0.1098, -0.1097, -0.126, -0.114, -0.1215]
Question #4    | Trait: C | Key: + | ANSWER: (E)
-- Likelihood: [-0.1168, -0.1182, -0.1263, -0.119, -0.1126]
Question #5    | Trait: N | Key: + | ANSWER: (E)
-- Likelihood: [-0.1104, -0.1126, -0.1195, -0.1124, -0.109]
Question #6    | Trait: E | Key: + | ANSWER: (E)
-- Likelihood: [-0.1094, -0.1105, -0.1192, -0.1121, -0.105]
Question #7    | Trait: O | Key: + | ANSWER: (A)
-- Likelihood: [-0.1047, -0.1049, -0.116, -0.1146, -0.1164]
Question #8    | Trait: A | Key: - | ANSWER: (A)
-- Likelihood: [-0.1089, -0.1096, -0.1199, -0.1206, -0.1228]
Question #9    | Trait: C | Key: + | ANSWER: (E)
-- Likelihood: [-0.1133, -0.1114, -0.1209, -0.1165, -0.1029]
Question #10   | Trait: N | Key: + | ANSWER: (E)
-- Likelihood: [-0.1164, -0.116, -0.1273, -0.118, -0.1092]
Question #11   | Trait: E | Key: + | ANSWER: (B)
-- Likelihood: [-0.1149, -0.1138, -0.1328, -0.1188, -0.1149]
Question #12   | Trait: O | Key: + | ANSWER: (E)
-- Likelihood: [-0.1094, -0.1089, -0.1188, -0.1129, -0.1047]
Question #13   | Trait: A | Key: + | ANSWER: (E)
-- Likelihood: [-0.114, -0.1131, -0.1217, -0.117, -0.1068]
Question #14   | Trait: C | Key: + | ANSWER: (E)
-- Likelihood: [-0.1149, -0.115, -0.1253, -0.1179, -0.1074]
Question #15   | Trait: N | Key: + | ANSWER: (A)
-- Likelihood: [-0.1037, -0.1051, -0.1156, -0.1131, -0.1143]
Question #16   | Trait: E | Key: + | ANSWER: (E)
-- Likelihood: [-0.1106, -0.1114, -0.1206, -0.1116, -0.1028]
Question #17   | Trait: O | Key: + | ANSWER: (E)
-- Likelihood: [-0.112, -0.1127, -0.1247, -0.1142, -0.1093]
Question #18   | Trait: A | Key: - | ANSWER: (E)
-- Likelihood: [-0.1107, -0.1121, -0.1203, -0.112, -0.1038]
Question #19   | Trait: C | Key: + | ANSWER: (B)
-- Likelihood: [-0.1101, -0.1097, -0.127, -0.1143, -0.1234]
Question #20   | Trait: N | Key: + | ANSWER: (E)
-- Likelihood: [-0.1164, -0.1208, -0.1276, -0.1212, -0.1124]
Question #21   | Trait: E | Key: + | ANSWER: (A)
-- Likelihood: [-0.1083, -0.1083, -0.1238, -0.1123, -0.1167]
Question #22   | Trait: O | Key: + | ANSWER: (A)
-- Likelihood: [-0.1044, -0.1056, -0.1184, -0.1087, -0.1217]
Question #23   | Trait: A | Key: - | ANSWER: (A)
-- Likelihood: [-0.103, -0.1036, -0.114, -0.1121, -0.1091]
Question #24   | Trait: C | Key: + | ANSWER: (E)
-- Likelihood: [-0.1115, -0.1122, -0.1221, -0.1137, -0.1068]
Question #25   | Trait: N | Key: + | ANSWER: (B)
-- Likelihood: [-0.1064, -0.1064, -0.1228, -0.1099, -0.1145]
Question #26   | Trait: E | Key: + | ANSWER: (E)
-- Likelihood: [-0.1782, -0.1759, -0.1863, -0.1792, -0.1724]
Question #27   | Trait: O | Key: + | ANSWER: (B)
-- Likelihood: [-0.1304, -0.1282, -0.1393, -0.139, -0.1423]
Question #28   | Trait: A | Key: + | ANSWER: (A)
-- Likelihood: [-0.2183, -0.2207, -0.2295, -0.2274, -0.2326]
Question #29   | Trait: C | Key: - | ANSWER: (A)
-- Likelihood: [-0.1034, -0.1042, -0.1178, -0.1086, -0.1126]
Question #30   | Trait: N | Key: + | ANSWER: (E)
-- Likelihood: [-0.1098, -0.1102, -0.1213, -0.1123, -0.1049]
Question #31   | Trait: E | Key: + | ANSWER: (A)
-- Likelihood: [-0.1049, -0.1062, -0.1197, -0.1097, -0.1082]
Question #32   | Trait: O | Key: + | ANSWER: (A)
-- Likelihood: [-0.1023, -0.1038, -0.1143, -0.1059, -0.1156]
Question #33   | Trait: A | Key: + | ANSWER: (A)
-- Likelihood: [-0.1057, -0.1066, -0.116, -0.1142, -0.1157]
Question #34   | Trait: C | Key: + | ANSWER: (A)
-- Likelihood: [-0.1012, -0.1024, -0.1147, -0.1065, -0.1151]
Question #35   | Trait: N | Key: + | ANSWER: (A)
-- Likelihood: [-0.1098, -0.1117, -0.1174, -0.1107, -0.113]
Question #36   | Trait: E | Key: + | ANSWER: (A)
-- Likelihood: [-0.1022, -0.1048, -0.1101, -0.11, -0.1099]
Question #37   | Trait: O | Key: + | ANSWER: (A)
-- Likelihood: [-0.1017, -0.1043, -0.1128, -0.111, -0.1099]
Question #38   | Trait: A | Key: - | ANSWER: (E)
-- Likelihood: [-0.1106, -0.11, -0.1193, -0.1116, -0.1041]
Question #39   | Trait: C | Key: - | ANSWER: (A)
-- Likelihood: [-0.1065, -0.1095, -0.1174, -0.1101, -0.1123]
Question #40   | Trait: N | Key: + | ANSWER: (B)
-- Likelihood: [-0.1099, -0.1096, -0.1251, -0.1123, -0.1184]
Question #41   | Trait: E | Key: + | ANSWER: (E)
