,index,Template,Scores
0,32,[lc]-[ns]-[type-ii]-[ans-iii],0.0007090568542480469
1,26,[lc]-[ns]-[type-i]-[ans-i],0.0006462335586547852
2,29,[og]-[ns]-[type-i]-[ans-ii],0.0006035566329956055
3,0,[lc]-[ns]-[type-i]-[ans-iii],0.0005795955657958984
4,34,[lc]-[ns]-[type-ii]-[ans-i],0.0005726814270019531
5,2,[lc]-[s]-[type-i]-[ans-i],0.0005612373352050781
6,28,[lc]-[ns]-[type-i]-[ans-ii],0.0005593299865722656
7,3,[og]-[s]-[type-i]-[ans-i],0.0005548000335693359
8,19,[og]-[s]-[type-iii]-[ans-i],0.0005254745483398438
9,11,[og]-[s]-[type-ii]-[ans-i],0.0005089044570922852
10,12,[lc]-[ns]-[type-ii]-[ans-ii],0.000506281852722168
11,27,[og]-[ns]-[type-i]-[ans-i],0.0004953145980834961
12,22,[lc]-[ns]-[type-iii]-[ans-ii],0.00048041343688964844
13,33,[og]-[ns]-[type-ii]-[ans-iii],0.0004703998565673828
14,30,[lc]-[s]-[type-ii]-[ans-ii],0.0004665851593017578
15,24,[lc]-[s]-[type-i]-[ans-ii],0.0004665851593017578
16,16,[lc]-[ns]-[type-iii]-[ans-i],0.0004652738571166992
17,5,[og]-[s]-[type-iii]-[ans-ii],0.00044727325439453125
18,23,[og]-[ns]-[type-iii]-[ans-ii],0.00043833255767822266
19,1,[og]-[ns]-[type-i]-[ans-iii],0.0004353523254394531
20,4,[lc]-[s]-[type-iii]-[ans-ii],0.0004342794418334961
21,18,[lc]-[s]-[type-iii]-[ans-i],0.0004290342330932617
22,17,[og]-[ns]-[type-iii]-[ans-i],0.00042116641998291016
23,20,[lc]-[ns]-[type-iii]-[ans-iii],0.0004200935363769531
24,14,[lc]-[s]-[type-ii]-[ans-iii],0.0004093647003173828
25,6,[lc]-[s]-[type-i]-[ans-iii],0.0004019737243652344
26,35,[og]-[ns]-[type-ii]-[ans-i],0.00039577484130859375
27,13,[og]-[ns]-[type-ii]-[ans-ii],0.000385284423828125
28,7,[og]-[s]-[type-i]-[ans-iii],0.0003610849380493164
29,21,[og]-[ns]-[type-iii]-[ans-iii],0.0003572702407836914
30,10,[lc]-[s]-[type-ii]-[ans-i],0.0003565549850463867
31,15,[og]-[s]-[type-ii]-[ans-iii],0.0003230571746826172
32,25,[og]-[s]-[type-i]-[ans-ii],0.00031888484954833984
33,31,[og]-[s]-[type-ii]-[ans-ii],0.00031888484954833984
34,8,[lc]-[s]-[type-iii]-[ans-iii],0.0003107786178588867
35,9,[og]-[s]-[type-iii]-[ans-iii],0.00026357173919677734
