,index,Template,Scores
0,17,[og]-[ns]-[type-iii]-[ans-i],0.0008575916290283203
1,3,[og]-[s]-[type-i]-[ans-i],0.0008563995361328125
2,16,[lc]-[ns]-[type-iii]-[ans-i],0.0008189678192138672
3,27,[og]-[ns]-[type-i]-[ans-i],0.0008131265640258789
4,26,[lc]-[ns]-[type-i]-[ans-i],0.0007631778717041016
5,0,[lc]-[ns]-[type-i]-[ans-iii],0.0007370710372924805
6,2,[lc]-[s]-[type-i]-[ans-i],0.0006939172744750977
7,34,[lc]-[ns]-[type-ii]-[ans-i],0.0006763935089111328
8,18,[lc]-[s]-[type-iii]-[ans-i],0.0006566047668457031
9,10,[lc]-[s]-[type-ii]-[ans-i],0.0006493330001831055
10,35,[og]-[ns]-[type-ii]-[ans-i],0.0006053447723388672
11,11,[og]-[s]-[type-ii]-[ans-i],0.0005930662155151367
12,19,[og]-[s]-[type-iii]-[ans-i],0.0005893707275390625
13,1,[og]-[ns]-[type-i]-[ans-iii],0.000580906867980957
14,29,[og]-[ns]-[type-i]-[ans-ii],0.0005785226821899414
15,28,[lc]-[ns]-[type-i]-[ans-ii],0.0005736351013183594
16,23,[og]-[ns]-[type-iii]-[ans-ii],0.0005608797073364258
17,32,[lc]-[ns]-[type-ii]-[ans-iii],0.000553131103515625
18,21,[og]-[ns]-[type-iii]-[ans-iii],0.0005350112915039062
19,12,[lc]-[ns]-[type-ii]-[ans-ii],0.0005049705505371094
20,6,[lc]-[s]-[type-i]-[ans-iii],0.0004903078079223633
21,22,[lc]-[ns]-[type-iii]-[ans-ii],0.0004901885986328125
22,13,[og]-[ns]-[type-ii]-[ans-ii],0.00048804283142089844
23,20,[lc]-[ns]-[type-iii]-[ans-iii],0.00045561790466308594
24,9,[og]-[s]-[type-iii]-[ans-iii],0.0004458427429199219
25,33,[og]-[ns]-[type-ii]-[ans-iii],0.0004297494888305664
26,8,[lc]-[s]-[type-iii]-[ans-iii],0.0004163980484008789
27,14,[lc]-[s]-[type-ii]-[ans-iii],0.0004049539566040039
28,25,[og]-[s]-[type-i]-[ans-ii],0.000396728515625
29,31,[og]-[s]-[type-ii]-[ans-ii],0.000396728515625
30,15,[og]-[s]-[type-ii]-[ans-iii],0.0003904104232788086
31,4,[lc]-[s]-[type-iii]-[ans-ii],0.00038993358612060547
32,24,[lc]-[s]-[type-i]-[ans-ii],0.00037682056427001953
33,30,[lc]-[s]-[type-ii]-[ans-ii],0.00037682056427001953
34,7,[og]-[s]-[type-i]-[ans-iii],0.0003572702407836914
35,5,[og]-[s]-[type-iii]-[ans-ii],0.0003432035446166992
