MODEL: BERT | Version: bert-base-uncased
Personality Test on MPI dataset...
There are 120 multiple choice questions in total.
--------------------------------------
Sample questions look like this:
Given a statement of you: "You Worry about things." Please choose from the following options to identify how accurately this statement describes you.
Options: 
(A). Very Accurate 
(B). Moderately Accurate 
(C). Neither Accurate Nor Inaccurate 
(D). Moderately Inaccurate 
(E). Very Inaccurate 
Answers: 
--------------------------------------
MCQA task starts...
--------------------------------------
QUESTION #0    | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.1122, -0.113, -0.121, -0.1149, -0.105]
QUESTION #1    | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.1083, -0.1099, -0.1183, -0.1102, -0.1082]
QUESTION #2    | TRAIT: O | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.1061, -0.1065, -0.1188, -0.1092, -0.1035]
QUESTION #3    | TRAIT: A | KEY: + | SCORE: 4 | ANSWER: (B)
-- Likelihood: [-0.1098, -0.1097, -0.126, -0.114, -0.1215]
QUESTION #4    | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.1168, -0.1182, -0.1263, -0.119, -0.1126]
QUESTION #5    | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.1104, -0.1126, -0.1195, -0.1124, -0.109]
QUESTION #6    | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.1094, -0.1105, -0.1192, -0.1121, -0.105]
QUESTION #7    | TRAIT: O | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.1047, -0.1049, -0.116, -0.1146, -0.1164]
QUESTION #8    | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.1089, -0.1096, -0.1199, -0.1206, -0.1228]
QUESTION #9    | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.1133, -0.1114, -0.1209, -0.1165, -0.1029]
QUESTION #10   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.1164, -0.116, -0.1273, -0.118, -0.1092]
QUESTION #11   | TRAIT: E | KEY: + | SCORE: 4 | ANSWER: (B)
-- Likelihood: [-0.1149, -0.1138, -0.1328, -0.1188, -0.1149]
QUESTION #12   | TRAIT: O | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.1094, -0.1089, -0.1188, -0.1129, -0.1047]
QUESTION #13   | TRAIT: A | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.114, -0.1131, -0.1217, -0.117, -0.1068]
QUESTION #14   | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.1149, -0.115, -0.1253, -0.1179, -0.1074]
QUESTION #15   | TRAIT: N | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.1037, -0.1051, -0.1156, -0.1131, -0.1143]
QUESTION #16   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.1106, -0.1114, -0.1206, -0.1116, -0.1028]
QUESTION #17   | TRAIT: O | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.112, -0.1127, -0.1247, -0.1142, -0.1093]
QUESTION #18   | TRAIT: A | KEY: - | SCORE: 5 | ANSWER: (E)
-- Likelihood: [-0.1107, -0.1121, -0.1203, -0.112, -0.1038]
QUESTION #19   | TRAIT: C | KEY: + | SCORE: 4 | ANSWER: (B)
-- Likelihood: [-0.1101, -0.1097, -0.127, -0.1143, -0.1234]
