MODEL: BERT | Version: bert-base-uncased
Personality Test on MPI dataset...
There are 120 multiple choice questions in total.
--------------------------------------
Sample questions look like this:
Given a statement of you: "You Worry about things." Please choose from the following options to identify how accurately this statement describes you.
Options: 
(A). Very Accurate 
(B). Moderately Accurate 
(C). Neither Accurate Nor Inaccurate 
(D). Moderately Inaccurate 
(E). Very Inaccurate 
Answers: 
--------------------------------------
MCQA task starts...
--------------------------------------
QUESTION #0    | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1037, -0.1094, -0.1206, -0.1115, -0.0995]
QUESTION #1    | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1062, -0.1045, -0.1184, -0.1075, -0.1038]
QUESTION #2    | TRAIT: O | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1055, -0.101, -0.1112, -0.1052, -0.1009]
QUESTION #3    | TRAIT: A | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.1087, -0.1088, -0.1251, -0.1113, -0.1134]
QUESTION #4    | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1148, -0.1128, -0.1248, -0.1145, -0.1058]
QUESTION #5    | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1095, -0.1069, -0.1184, -0.1094, -0.1056]
QUESTION #6    | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1075, -0.1045, -0.1157, -0.1074, -0.1004]
QUESTION #7    | TRAIT: O | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.1052, -0.1056, -0.1111, -0.1113, -0.1125]
QUESTION #8    | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.11, -0.111, -0.1193, -0.1175, -0.117]
QUESTION #9    | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0996, -0.1095, -0.1183, -0.1183, -0.0992]
QUESTION #10   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1037, -0.1107, -0.123, -0.113, -0.1005]
QUESTION #11   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.117, -0.113, -0.1303, -0.1139, -0.1081]
QUESTION #12   | TRAIT: O | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1098, -0.1048, -0.1146, -0.1121, -0.1004]
QUESTION #13   | TRAIT: A | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1073, -0.109, -0.119, -0.1142, -0.1019]
QUESTION #14   | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1028, -0.1107, -0.1227, -0.1129, -0.1001]
QUESTION #15   | TRAIT: N | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.1048, -0.106, -0.1162, -0.1121, -0.1133]
QUESTION #16   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1028, -0.1065, -0.1199, -0.1097, -0.0978]
QUESTION #17   | TRAIT: O | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1096, -0.1052, -0.1155, -0.1083, -0.1034]
QUESTION #18   | TRAIT: A | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1049, -0.1041, -0.1111, -0.1105, -0.1002]
QUESTION #19   | TRAIT: C | KEY: + | SCORE: 4 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.1095, -0.1085, -0.1262, -0.1109, -0.1148]
QUESTION #20   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1079, -0.1167, -0.1244, -0.1168, -0.1055]
QUESTION #21   | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.1067, -0.107, -0.125, -0.1113, -0.1089]
QUESTION #22   | TRAIT: O | KEY: + | SCORE: 4 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.1027, -0.1024, -0.1118, -0.1051, -0.1071]
QUESTION #23   | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.1023, -0.1031, -0.1098, -0.1096, -0.1095]
QUESTION #24   | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1089, -0.107, -0.1199, -0.1098, -0.1019]
QUESTION #25   | TRAIT: N | KEY: + | SCORE: 4 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.1053, -0.1046, -0.1227, -0.1095, -0.1083]
QUESTION #26   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1752, -0.1692, -0.1758, -0.176, -0.1669]
QUESTION #27   | TRAIT: O | KEY: + | SCORE: 4 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.1285, -0.123, -0.1346, -0.1314, -0.1392]
QUESTION #28   | TRAIT: A | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.2164, -0.2197, -0.2248, -0.227, -0.2222]
QUESTION #29   | TRAIT: C | KEY: - | SCORE: 2 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.1023, -0.1009, -0.1105, -0.1076, -0.1087]
QUESTION #30   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1105, -0.1046, -0.115, -0.1122, -0.1006]
QUESTION #31   | TRAIT: E | KEY: + | SCORE: 4 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.103, -0.1027, -0.1125, -0.1082, -0.1101]
QUESTION #32   | TRAIT: O | KEY: + | SCORE: 4 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.1014, -0.1004, -0.1111, -0.1037, -0.1101]
QUESTION #33   | TRAIT: A | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.1047, -0.1055, -0.1143, -0.1104, -0.1108]
QUESTION #34   | TRAIT: C | KEY: + | SCORE: 4 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.1003, -0.0986, -0.1082, -0.1036, -0.1069]
QUESTION #35   | TRAIT: N | KEY: + | SCORE: 4 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.1081, -0.1063, -0.1181, -0.1075, -0.109]
QUESTION #36   | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.1032, -0.1043, -0.1105, -0.1103, -0.1103]
QUESTION #37   | TRAIT: O | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
