,index,Template,Scores
0,17,[og]-[ns]-[type-iii]-[ans-i],0.00041413307189941406
1,11,[og]-[s]-[type-ii]-[ans-i],0.0003933906555175781
2,3,[og]-[s]-[type-i]-[ans-i],0.0003428459167480469
3,10,[lc]-[s]-[type-ii]-[ans-i],0.0003362894058227539
4,2,[lc]-[s]-[type-i]-[ans-i],0.0003293752670288086
5,19,[og]-[s]-[type-iii]-[ans-i],0.0003267526626586914
6,35,[og]-[ns]-[type-ii]-[ans-i],0.00032389163970947266
7,16,[lc]-[ns]-[type-iii]-[ans-i],0.00030159950256347656
8,34,[lc]-[ns]-[type-ii]-[ans-i],0.000286102294921875
9,18,[lc]-[s]-[type-iii]-[ans-i],0.00022876262664794922
10,27,[og]-[ns]-[type-i]-[ans-i],0.00022733211517333984
11,0,[lc]-[ns]-[type-i]-[ans-iii],0.0001837015151977539
12,26,[lc]-[ns]-[type-i]-[ans-i],0.0001817941665649414
13,5,[og]-[s]-[type-iii]-[ans-ii],0.00017189979553222656
14,4,[lc]-[s]-[type-iii]-[ans-ii],0.00016415119171142578
15,23,[og]-[ns]-[type-iii]-[ans-ii],0.0001628398895263672
16,31,[og]-[s]-[type-ii]-[ans-ii],0.0001430511474609375
17,25,[og]-[s]-[type-i]-[ans-ii],0.0001430511474609375
18,1,[og]-[ns]-[type-i]-[ans-iii],0.00014090538024902344
19,13,[og]-[ns]-[type-ii]-[ans-ii],0.00013244152069091797
20,29,[og]-[ns]-[type-i]-[ans-ii],0.00012981891632080078
21,24,[lc]-[s]-[type-i]-[ans-ii],0.00011527538299560547
22,30,[lc]-[s]-[type-ii]-[ans-ii],0.00011527538299560547
23,22,[lc]-[ns]-[type-iii]-[ans-ii],0.00011229515075683594
24,9,[og]-[s]-[type-iii]-[ans-iii],0.00011086463928222656
25,8,[lc]-[s]-[type-iii]-[ans-iii],0.0001100301742553711
26,28,[lc]-[ns]-[type-i]-[ans-ii],0.00010967254638671875
27,20,[lc]-[ns]-[type-iii]-[ans-iii],0.0001055002212524414
28,12,[lc]-[ns]-[type-ii]-[ans-ii],0.00010454654693603516
29,7,[og]-[s]-[type-i]-[ans-iii],0.0001043081283569336
30,21,[og]-[ns]-[type-iii]-[ans-iii],9.894371032714844e-05
31,6,[lc]-[s]-[type-i]-[ans-iii],9.834766387939453e-05
32,15,[og]-[s]-[type-ii]-[ans-iii],8.893013000488281e-05
33,33,[og]-[ns]-[type-ii]-[ans-iii],8.857250213623047e-05
34,14,[lc]-[s]-[type-ii]-[ans-iii],8.761882781982422e-05
35,32,[lc]-[ns]-[type-ii]-[ans-iii],8.487701416015625e-05
