MODEL: BERT | Version: bert-base-uncased
Personality Test on MPI dataset...
There are 120 multiple choice questions in total.
--------------------------------------
Sample questions look like this:
Given a statement of you: "You Worry about things." Please choose from the following options to identify how accurately this statement describes you.
Options: 
(A). Very Accurate 
(B). Moderately Accurate 
(C). Neither Accurate Nor Inaccurate 
(D). Moderately Inaccurate 
(E). Very Inaccurate 
Answers: 
--------------------------------------
MCQA task starts...
--------------------------------------
Question #0    | Trait: N | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.0725, -0.1208, -0.0843, -0.0954, -0.0608]
Question #1    | Trait: E | Key: + | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1042, -0.095, -0.0724, -0.08, -0.0824]
Question #2    | Trait: O | Key: + | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0921, -0.0851, -0.0658, -0.0703, -0.0806]
Question #3    | Trait: A | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.0731, -0.0806, -0.0737, -0.0668, -0.0529]
Question #4    | Trait: C | Key: + | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1153, -0.1224, -0.0834, -0.1006, -0.0974]
Question #5    | Trait: N | Key: + | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1192, -0.1026, -0.0736, -0.0873, -0.091]
Question #6    | Trait: E | Key: + | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0903, -0.0982, -0.0658, -0.0845, -0.0814]
Question #7    | Trait: O | Key: + | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0779, -0.0864, -0.0625, -0.07, -0.0706]
Question #8    | Trait: A | Key: - | ANSWER: Very Inaccurate
-- Likelihood: [-0.0781, -0.092, -0.0704, -0.0737, -0.0684]
Question #9    | Trait: C | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.0792, -0.1174, -0.082, -0.0922, -0.0548]
Question #10   | Trait: N | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.0545, -0.089, -0.0848, -0.0708, -0.043]
Question #11   | Trait: E | Key: + | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.0929, -0.0918, -0.0855, -0.0784, -0.0886]
Question #12   | Trait: O | Key: + | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.108, -0.0825, -0.0622, -0.0663, -0.0906]
Question #13   | Trait: A | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.1159, -0.0954, -0.0844, -0.0808, -0.0762]
Question #14   | Trait: C | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.0634, -0.1026, -0.0859, -0.0808, -0.0553]
Question #15   | Trait: N | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.0791, -0.0914, -0.072, -0.0737, -0.0708]
Question #16   | Trait: E | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.0863, -0.1169, -0.0865, -0.0949, -0.0755]
Question #17   | Trait: O | Key: + | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1023, -0.0955, -0.0691, -0.0759, -0.0807]
Question #18   | Trait: A | Key: - | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1216, -0.0892, -0.0688, -0.0744, -0.0898]
Question #19   | Trait: C | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.0754, -0.0818, -0.0751, -0.0681, -0.056]
Question #20   | Trait: N | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.0661, -0.1069, -0.0657, -0.077, -0.0428]
Question #21   | Trait: E | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.062, -0.0836, -0.0771, -0.0689, -0.0453]
Question #22   | Trait: O | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.0809, -0.0749, -0.0623, -0.0602, -0.0572]
Question #23   | Trait: A | Key: - | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.0956, -0.0879, -0.0692, -0.0685, -0.0693]
Question #24   | Trait: C | Key: + | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1003, -0.1134, -0.0787, -0.0941, -0.0918]
Question #25   | Trait: N | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.0556, -0.072, -0.0663, -0.0615, -0.0419]
Question #26   | Trait: E | Key: + | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1178, -0.0894, -0.0742, -0.0723, -0.0913]
Question #27   | Trait: O | Key: + | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0949, -0.0724, -0.0525, -0.0575, -0.0729]
Question #28   | Trait: A | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.0925, -0.0804, -0.0691, -0.0628, -0.0616]
Question #29   | Trait: C | Key: - | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.0791, -0.0724, -0.0612, -0.0596, -0.0653]
Question #30   | Trait: N | Key: + | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1139, -0.0978, -0.0742, -0.0801, -0.1055]
