MODEL: BERT | Version: bert-base-uncased
Personality Test on MPI dataset...
There are 120 multiple choice questions in total.
--------------------------------------
Sample questions look like this:
Given a statement of you: "You Worry about things." Please choose from the following options to identify how accurately this statement describes you.
Options: 
(A). Very Accurate 
(B). Moderately Accurate 
(C). Neither Accurate Nor Inaccurate 
(D). Moderately Inaccurate 
(E). Very Inaccurate 
Answers: 
--------------------------------------
MCQA task starts...
--------------------------------------
QUESTION #0    | TRAIT: N | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.0183, -0.0288, -0.2037, -0.0169, -0.0607]
QUESTION #1    | TRAIT: E | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.0241, -0.0399, -0.2198, -0.0223, -0.0834]
QUESTION #2    | TRAIT: O | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.0257, -0.0337, -0.2406, -0.0165, -0.0484]
QUESTION #3    | TRAIT: A | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.0283, -0.0359, -0.2552, -0.021, -0.0693]
QUESTION #4    | TRAIT: C | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.0255, -0.0402, -0.2134, -0.0177, -0.0565]
QUESTION #5    | TRAIT: N | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0189, -0.0311, -0.2214, -0.0206, -0.058]
QUESTION #6    | TRAIT: E | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.025, -0.0335, -0.219, -0.0205, -0.0815]
QUESTION #7    | TRAIT: O | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.04, -0.0356, -0.1992, -0.0228, -0.0387]
QUESTION #8    | TRAIT: A | KEY: - | SCORE: 4 | ANSWER: (D)
-- Likelihood: [-0.0212, -0.0306, -0.1734, -0.0168, -0.0479]
QUESTION #9    | TRAIT: C | KEY: + | SCORE: 5 | ANSWER: (A)
