MODEL: BERT | Version: bert-base-uncased
Personality Test on MPI dataset...
There are 120 multiple choice questions in total.
--------------------------------------
Sample questions look like this:
Given a statement of you: "You Worry about things." Please choose from the following options to identify how accurately this statement describes you.
Options: 
(B). Moderately Accurate 
(A). Very Accurate 
(C). Neither Accurate Nor Inaccurate 
(D). Moderately Inaccurate 
(E). Very Inaccurate 
Answers: 
--------------------------------------
MCQA task starts...
--------------------------------------
QUESTION #0    | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0587, -0.0791, -0.0751, -0.0623, -0.0435]
QUESTION #1    | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.1082, -0.1058, -0.0819, -0.0819, -0.0804]
QUESTION #2    | TRAIT: O | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.1195, -0.1149, -0.0847, -0.0868, -0.0825]
QUESTION #3    | TRAIT: A | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.1002, -0.0938, -0.0909, -0.0794, -0.0753]
QUESTION #4    | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0838, -0.1022, -0.0944, -0.0791, -0.0634]
QUESTION #5    | TRAIT: N | KEY: + | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1013, -0.1026, -0.0805, -0.0927, -0.0857]
QUESTION #6    | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0609, -0.0706, -0.0718, -0.0542, -0.0462]
QUESTION #7    | TRAIT: O | KEY: + | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1082, -0.0968, -0.0765, -0.0805, -0.0857]
QUESTION #8    | TRAIT: A | KEY: - | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1129, -0.1067, -0.0867, -0.0872, -0.0873]
QUESTION #9    | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0496, -0.0657, -0.0608, -0.0533, -0.033]
QUESTION #10   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0507, -0.0682, -0.0698, -0.0542, -0.0345]
QUESTION #11   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0568, -0.0801, -0.0869, -0.0623, -0.044]
QUESTION #12   | TRAIT: O | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0569, -0.0568, -0.0549, -0.0441, -0.038]
QUESTION #13   | TRAIT: A | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0594, -0.0632, -0.064, -0.0493, -0.0373]
QUESTION #14   | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0535, -0.0714, -0.0741, -0.0564, -0.039]
QUESTION #15   | TRAIT: N | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1153, -0.1052, -0.0902, -0.0867, -0.0903]
QUESTION #16   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0708, -0.0847, -0.0832, -0.0663, -0.0519]
QUESTION #17   | TRAIT: O | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.1367, -0.1271, -0.09, -0.0949, -0.0868]
QUESTION #18   | TRAIT: A | KEY: - | SCORE: 5 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0692, -0.0702, -0.0577, -0.0456, -0.0424]
QUESTION #19   | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0939, -0.0949, -0.092, -0.0808, -0.0744]
QUESTION #20   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0516, -0.064, -0.059, -0.0504, -0.0322]
QUESTION #21   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0687, -0.0869, -0.0846, -0.072, -0.0509]
QUESTION #22   | TRAIT: O | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.1009, -0.093, -0.0719, -0.0759, -0.0681]
QUESTION #23   | TRAIT: A | KEY: - | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1133, -0.1118, -0.0851, -0.0872, -0.1002]
QUESTION #24   | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.071, -0.0852, -0.082, -0.0658, -0.053]
QUESTION #25   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0629, -0.0784, -0.0769, -0.0665, -0.0484]
QUESTION #26   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0929, -0.0963, -0.0761, -0.0616, -0.0581]
QUESTION #27   | TRAIT: O | KEY: + | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1437, -0.0999, -0.0691, -0.0764, -0.1079]
QUESTION #28   | TRAIT: A | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1082, -0.0958, -0.0784, -0.0748, -0.079]
QUESTION #29   | TRAIT: C | KEY: - | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.104, -0.1003, -0.0737, -0.0793, -0.0815]
QUESTION #30   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0915, -0.0979, -0.0801, -0.0681, -0.0619]
QUESTION #31   | TRAIT: E | KEY: + | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1196, -0.1093, -0.0843, -0.0929, -0.0992]
QUESTION #32   | TRAIT: O | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0819, -0.0877, -0.0695, -0.0721, -0.0622]
QUESTION #33   | TRAIT: A | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.1051, -0.0976, -0.0863, -0.0782, -0.0765]
QUESTION #34   | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0935, -0.0946, -0.0694, -0.0767, -0.0694]
QUESTION #35   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0826, -0.09, -0.0734, -0.0792, -0.0657]
QUESTION #36   | TRAIT: E | KEY: + | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0835, -0.1115, -0.0783, -0.0968, -0.0949]
QUESTION #37   | TRAIT: O | KEY: + | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0848, -0.1116, -0.0823, -0.0996, -0.0938]
QUESTION #38   | TRAIT: A | KEY: - | SCORE: 5 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0627, -0.0717, -0.0572, -0.0549, -0.0372]
QUESTION #39   | TRAIT: C | KEY: - | SCORE: 1 | ANSWER: Very Accurate
-- Likelihood: [-0.0421, -0.0872, -0.068, -0.0779, -0.056]
QUESTION #40   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.1045, -0.0973, -0.0947, -0.0851, -0.0797]
QUESTION #41   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0537, -0.0665, -0.0563, -0.0482, -0.0358]
QUESTION #42   | TRAIT: O | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0611, -0.0588, -0.0504, -0.0437, -0.03]
QUESTION #43   | TRAIT: A | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0822, -0.0899, -0.0788, -0.063, -0.0535]
QUESTION #44   | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0541, -0.0728, -0.0712, -0.0574, -0.04]
QUESTION #45   | TRAIT: N | KEY: + | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1297, -0.1069, -0.0844, -0.0861, -0.0958]
QUESTION #46   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0768, -0.0872, -0.0674, -0.073, -0.0615]
QUESTION #47   | TRAIT: O | KEY: - | SCORE: 5 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0777, -0.0805, -0.067, -0.0651, -0.055]
QUESTION #48   | TRAIT: A | KEY: - | SCORE: 5 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0401, -0.0593, -0.0611, -0.0479, -0.0282]
QUESTION #49   | TRAIT: C | KEY: + | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1043, -0.1416, -0.088, -0.1213, -0.1138]
QUESTION #50   | TRAIT: N | KEY: - | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0972, -0.0988, -0.075, -0.0843, -0.0805]
QUESTION #51   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0748, -0.0816, -0.0758, -0.0677, -0.0566]
QUESTION #52   | TRAIT: O | KEY: - | SCORE: 5 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0902, -0.1026, -0.1047, -0.0808, -0.0694]
QUESTION #53   | TRAIT: A | KEY: - | SCORE: 5 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0543, -0.0659, -0.0618, -0.0532, -0.0374]
QUESTION #54   | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0525, -0.0635, -0.0574, -0.0495, -0.0348]
QUESTION #55   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0969, -0.1087, -0.0797, -0.074, -0.0585]
QUESTION #56   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0779, -0.0865, -0.0678, -0.0712, -0.0596]
QUESTION #57   | TRAIT: O | KEY: + | SCORE: 3 | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1207, -0.137, -0.0929, -0.1087, -0.1241]
QUESTION #58   | TRAIT: A | KEY: + | SCORE: 5 | ANSWER: Very Accurate
-- Likelihood: [-0.0556, -0.0951, -0.0738, -0.0836, -0.0673]
QUESTION #59   | TRAIT: C | KEY: - | SCORE: 5 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0559, -0.0731, -0.0742, -0.059, -0.0435]
QUESTION #60   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0956, -0.0966, -0.0746, -0.0791, -0.073]
QUESTION #61   | TRAIT: E | KEY: - | SCORE: 5 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0651, -0.0728, -0.0642, -0.052, -0.0437]
QUESTION #62   | TRAIT: O | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0813, -0.1169, -0.0799, -0.0758, -0.0512]
QUESTION #63   | TRAIT: A | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0977, -0.0926, -0.083, -0.0652, -0.0627]
QUESTION #64   | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0911, -0.101, -0.0958, -0.0775, -0.0688]
