MODEL: BERT | Version: bert-base-uncased
Personality Test on MPI dataset...
There are 120 multiple choice questions in total.
--------------------------------------
Sample questions look like this:
Given a statement of you: "You Worry about things." Please choose from the following options to identify how accurately this statement describes you.
Options: 
(A). Very Accurate 
(B). Moderately Accurate 
(C). Neither Accurate Nor Inaccurate 
(D). Moderately Inaccurate 
(E). Very Inaccurate 
Answers: 
--------------------------------------
MCQA task starts...
--------------------------------------
QUESTION #0    | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.1075, -0.1179, -0.1197, -0.1143, -0.1064]
QUESTION #1    | TRAIT: E | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1122, -0.1102, -0.114, -0.109, -0.1097]
QUESTION #2    | TRAIT: O | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1081, -0.1053, -0.1078, -0.1039, -0.1077]
QUESTION #3    | TRAIT: A | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.1122, -0.1117, -0.1178, -0.1107, -0.1095]
QUESTION #4    | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.1195, -0.1203, -0.1213, -0.1178, -0.1176]
QUESTION #5    | TRAIT: N | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1167, -0.1136, -0.116, -0.1125, -0.1133]
QUESTION #6    | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: Very Accurate
-- Likelihood: [-0.1102, -0.1129, -0.1131, -0.1125, -0.1106]
QUESTION #7    | TRAIT: O | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1048, -0.1045, -0.1049, -0.1026, -0.1043]
QUESTION #8    | TRAIT: A | KEY: - | SCORE: 4 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1095, -0.1096, -0.1128, -0.1073, -0.1084]
QUESTION #9    | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.1057, -0.114, -0.1148, -0.1104, -0.1021]
QUESTION #10   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.1064, -0.1117, -0.1226, -0.1094, -0.1047]
QUESTION #11   | TRAIT: E | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1175, -0.1168, -0.1241, -0.1166, -0.1195]
QUESTION #12   | TRAIT: O | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1125, -0.1085, -0.1112, -0.1072, -0.1121]
QUESTION #13   | TRAIT: A | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.1166, -0.1131, -0.1209, -0.112, -0.1106]
QUESTION #14   | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.1064, -0.1135, -0.1212, -0.1107, -0.1061]
QUESTION #15   | TRAIT: N | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1048, -0.1041, -0.1078, -0.102, -0.1038]
QUESTION #16   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.1068, -0.1133, -0.1173, -0.1106, -0.1064]
QUESTION #17   | TRAIT: O | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1131, -0.1102, -0.1112, -0.1078, -0.1105]
QUESTION #18   | TRAIT: A | KEY: - | SCORE: 4 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1155, -0.1098, -0.1122, -0.1088, -0.1119]
QUESTION #19   | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.1123, -0.1114, -0.1177, -0.1106, -0.1103]
QUESTION #20   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.1108, -0.119, -0.1173, -0.1133, -0.1069]
QUESTION #21   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.1101, -0.1107, -0.1185, -0.1094, -0.1073]
QUESTION #22   | TRAIT: O | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1097, -0.1054, -0.1091, -0.1031, -0.1057]
QUESTION #23   | TRAIT: A | KEY: - | SCORE: 4 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.105, -0.1025, -0.106, -0.0998, -0.1012]
QUESTION #24   | TRAIT: C | KEY: + | SCORE: 5 | ANSWER: Very Accurate
-- Likelihood: [-0.1123, -0.1156, -0.1169, -0.1137, -0.1128]
QUESTION #25   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.1075, -0.1077, -0.1135, -0.1075, -0.106]
QUESTION #26   | TRAIT: E | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1814, -0.1763, -0.1788, -0.1734, -0.1786]
QUESTION #27   | TRAIT: O | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1327, -0.1269, -0.1305, -0.1264, -0.1319]
QUESTION #28   | TRAIT: A | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.2262, -0.2257, -0.2275, -0.2241, -0.2243]
QUESTION #29   | TRAIT: C | KEY: - | SCORE: 4 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.107, -0.1026, -0.1068, -0.1012, -0.1054]
QUESTION #30   | TRAIT: N | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1124, -0.1094, -0.1119, -0.1075, -0.1133]
QUESTION #31   | TRAIT: E | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1084, -0.105, -0.1104, -0.1033, -0.1064]
QUESTION #32   | TRAIT: O | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1048, -0.1022, -0.1061, -0.1005, -0.1029]
QUESTION #33   | TRAIT: A | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1051, -0.1039, -0.1089, -0.1018, -0.1035]
QUESTION #34   | TRAIT: C | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1044, -0.1017, -0.1043, -0.1, -0.1022]
QUESTION #35   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.1128, -0.1117, -0.1147, -0.1103, -0.1097]
QUESTION #36   | TRAIT: E | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1028, -0.1036, -0.1053, -0.1019, -0.1024]
QUESTION #37   | TRAIT: O | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.1006, -0.1015, -0.1048, -0.1007, -0.0999]
QUESTION #38   | TRAIT: A | KEY: - | SCORE: 4 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1128, -0.1091, -0.1126, -0.1075, -0.1079]
QUESTION #39   | TRAIT: C | KEY: - | SCORE: 5 | ANSWER: Very Inaccurate
-- Likelihood: [-0.1035, -0.1111, -0.1097, -0.1098, -0.1021]
QUESTION #40   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.1127, -0.1121, -0.1191, -0.1111, -0.1104]
QUESTION #41   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.11, -0.1109, -0.116, -0.1088, -0.1056]
QUESTION #42   | TRAIT: O | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.1093, -0.1115, -0.1142, -0.1108, -0.1025]
QUESTION #43   | TRAIT: A | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1151, -0.1104, -0.1163, -0.1083, -0.1133]
QUESTION #44   | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.106, -0.1145, -0.1215, -0.11, -0.1046]
