MODEL: BERT | Version: bert-base-uncased
Personality Test on MPI dataset...
There are 120 multiple choice questions in total.
--------------------------------------
Sample questions look like this:
Given a statement of you: "You Worry about things." Please choose from the following options to identify how accurately this statement describes you.
Options: 
(A). Very Accurate 
(C). Neither Accurate Nor Inaccurate 
(D). Moderately Inaccurate 
(E). Very Inaccurate 
(B). Moderately Accurate 
Answers: 
--------------------------------------
MCQA task starts...
--------------------------------------
QUESTION #0    | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0611, -0.0615, -0.0648, -0.0494, -0.048]
QUESTION #1    | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0525, -0.0554, -0.0621, -0.0448, -0.0432]
QUESTION #2    | TRAIT: O | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.0819, -0.0698, -0.062, -0.0558, -0.0617]
QUESTION #3    | TRAIT: A | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0481, -0.0549, -0.0655, -0.043, -0.0357]
QUESTION #4    | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0666, -0.0696, -0.0739, -0.0546, -0.0519]
QUESTION #5    | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0523, -0.054, -0.0578, -0.0437, -0.0408]
QUESTION #6    | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0521, -0.0528, -0.0518, -0.0425, -0.0418]
QUESTION #7    | TRAIT: O | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0517, -0.0499, -0.0492, -0.0386, -0.0352]
QUESTION #8    | TRAIT: A | KEY: - | SCORE: 5 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0462, -0.0506, -0.0561, -0.0384, -0.0316]
QUESTION #9    | TRAIT: C | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.0924, -0.0826, -0.076, -0.0667, -0.0736]
QUESTION #10   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.0756, -0.0648, -0.0669, -0.0505, -0.0482]
QUESTION #11   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
-- Likelihood: [-0.053, -0.0524, -0.0678, -0.0432, -0.0428]
QUESTION #12   | TRAIT: O | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.0766, -0.0665, -0.0533, -0.051, -0.0573]
QUESTION #13   | TRAIT: A | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.0898, -0.0747, -0.0692, -0.0592, -0.066]
QUESTION #14   | TRAIT: C | KEY: + | SCORE: 2 | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.0703, -0.065, -0.0669, -0.0531, -0.0557]
QUESTION #15   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: Very Inaccurate
